,title,synopsis,genre,aired,episodes,members,popularity,ranked,score,img_url,link
10,Haikyuu Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,After the victory against Aoba Jousai High Karasuno High School once called  a fallen powerhouse a crow that can t fly  has finally reached the climax of the heated Spring tournament. Now to advance to nationals the Karasuno team has to defeat the powerhouse Shiratorizawa Academy. Karasuno s greatest hurdle is their adversary s ace Wakatoshi Ushijima the number one player in the Miyagi Prefecture and one of the country s top three aces.      Only the strongest team will make it to the national tournament. Since this match is the third year players  last chance to qualify for nationals Karasuno has to use everything they learned during the training camp and prior matches to attain victory. Filled with restlessness and excitement both teams are determined to come out on top in the third season of  Haikyuu .       Written by MAL Rewrite  ,Comedy,Oct 8 2016 to Dec 10 2016,10.0,395375,223,16.0,8.94,cdn.myanimelist.net.images.anime.7.81992.jpg,myanimelist.net.anime.32935.Haikyuu  Karasuno Koukou vs Shiratorizawa Gakuen Koukou
11,Gintama.,After joining the resistance against the bakufu Gintoki and the gang are in hiding along with Katsura and his Joui rebels. The Yorozuya is soon approached by Nobume Imai and two members of the Kiheitai who explain that the Harusame pirates have turned against 7th Division Captain Kamui and their former ally Takasugi. The Kiheitai present Gintoki with a job find Takasugi who has been missing since his ship was ambushed in a Harusame raid. Nobume also makes a stunning revelation regarding the Tendoushuu a secret organization pulling the strings of numerous factions and their leader Utsuro the shadowy figure with an uncanny resemblance to Gintoki s former teacher.      Hitching a ride on Sakamoto s space ship the Yorozuya and Katsura set out for Rakuyou Kagura s home planet where the various factions have gathered and tensions are brewing. Long held grudges political infighting and the Tendoushuu s sinister overarching plan finally culminate into a massive decisive battle on Rakuyou.       Written by MAL Rewrite ,Action,Jan 9 2017 to Mar 27 2017,12.0,139309,800,15.0,8.94,cdn.myanimelist.net.images.anime.3.83528.jpg,myanimelist.net.anime.34096.Gintama
12,Gintama Movie 2 Kanketsu hen   Yorozuya yo Eien Nare,When Gintoki apprehends a movie pirate at a premiere he checks the camera s footage and finds himself transported to a bleak post apocalyptic version of Edo where a mysterious epidemic called the  White Plague  has ravished the world s population. It turns out that the movie pirate wasn t a pirate after all it was an android time machine and Gintoki has been hurtled five years into the future Shinpachi and Kagura his Yorozuya cohorts have had a falling out and are now battle hardened solo vigilantes and he himself has been missing for years disappearing without a trace after scribbling a strange message in his journal.      Setting out in the disguise given to him by the android time machine Gintoki haphazardly reunites the Yorozuya team to investigate the White Plague and soon discovers that the key to saving the future lies in the darkness of his own past. Determined to confront a powerful foe he makes an important discovery with a ragtag band of friends and allies at his side he doesn t have to fight alone.       Written by MAL Rewrite ,Action,Jul 6 2013,1.0,135232,833,14.0,8.95,cdn.myanimelist.net.images.anime.10.51723.jpg,myanimelist.net.anime.15335.Gintama Movie 2  Kanketsu hen   Yorozuya yo Eien Nare
13,Gintama,The Amanto aliens from outer space have invaded Earth and taken over feudal Japan. As a result a prohibition on swords has been established and the samurai of Japan are treated with disregard as a consequence.      However one man Gintoki Sakata still possesses the heart of the samurai although from his love of sweets and work as a yorozuya one might not expect it. Accompanying him in his jack of all trades line of work are Shinpachi Shimura a boy with glasses and a strong heart Kagura with her umbrella and seemingly bottomless stomach as well as Sadaharu their oversized pet dog. Of course these odd jobs are not always simple as they frequently have run ins with the police ragtag rebels and assassins oftentimes leading to humorous but unfortunate consequences.      Who said life as an errand boy was easy       Written by MAL Rewrite ,Action,Apr 4 2006 to Mar 25 2010,201.0,579150,97,13.0,8.97,cdn.myanimelist.net.images.anime.10.73274.jpg,myanimelist.net.anime.918.Gintama
14,Clannad After Story,Clannad After Story  the sequel to the critically acclaimed slice of life series  Clannad  begins after Tomoya Okazaki and Nagisa Furukawa graduate from high school. Together they experience the emotional rollercoaster of growing up. Unable to decide on a course for his future Tomoya learns the value of a strong work ethic and discovers the strength of Nagisa s support. Through the couple s dedication and unity of purpose they push forward to confront their personal problems deepen their old relationships and create new bonds.      Time also moves on in the Illusionary World. As the plains grow cold with the approach of winter the Illusionary Girl and the Garbage Doll are presented with a difficult situation that reveals the World s true purpose.      Based on the visual novel by Key and produced by Kyoto Animation  Clannad After Story  is an impactful drama highlighting the importance of family and the struggles of adulthood.       Written by MAL Rewrite ,Slice of Life,Oct 3 2008 to Mar 27 2009,24.0,740101,64,12.0,8.97,cdn.myanimelist.net.images.anime.13.24647.jpg,myanimelist.net.anime.4181.Clannad  After Story
15,Gintama  Enchousen,While Gintoki Sakata was away the Yorozuya found themselves a new leader Kintoki Gintoki s golden haired doppelganger. In order to regain his former position Gintoki will need the help of those around him a troubling feat when no one can remember him Between Kintoki and Gintoki who will claim the throne as the main character      In addition Yorozuya make a trip back down to red light district of Yoshiwara to aid an elderly courtesan in her search for her long lost lover. Although the district is no longer in chains beneath the earth s surface the trio soon learn of the tragic backstories of Yoshiwara s inhabitants that still haunt them. With flashback after flashback this quest has Yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls.       Gintama  Enchousen  includes moments of action packed intensity along with their usual lighthearted slapstick humor for Gintoki and his friends.       Written by MAL Rewrite ,Action,Oct 4 2012 to Mar 28 2013,13.0,166446,667,11.0,8.98,cdn.myanimelist.net.images.anime.6.75172.jpg,myanimelist.net.anime.15417.Gintama  Enchousen
16,One Punch Man,The seemingly ordinary and unimpressive Saitama has a rather unique hobby being a hero. In order to pursue his childhood dream he trained relentlessly for three years and lost all of his hair in the process. Now Saitama is incredibly powerful so much so that no enemy is able to defeat him in battle. In fact all it takes to defeat evildoers with just one punch has led to an unexpected problem he is no longer able to enjoy the thrill of battling and has become quite bored.       This all changes with the arrival of Genos a 19 year old cyborg who wishes to be Saitama s disciple after seeing what he is capable of. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society and Saitama shocked that no one knows who he is quickly agrees. And thus begins the story of  One Punch Man  an action comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe he ll become popular in the process.       Written by MAL Rewrite ,Action,Oct 5 2015 to Dec 21 2015,12.0,1475219,5,50.0,8.68,cdn.myanimelist.net.images.anime.12.76049.jpg,myanimelist.net.anime.30276.One Punch Man
17,Kaguya hime no Monogatari,Deep in the countryside a man named Okina works as a bamboo cutter in a forest chopping away at the hollow plants day after day. One day he discovers a small baby inside a glowing shoot. He immediately takes her home convinced that she is a princess sent to Earth as a divine blessing from heaven. Okina and his wife Ouna take it upon themselves to raise the infant as their own watching over her as she quickly grows into an energetic young girl. Given the name Kaguya she fits right in with the village she has come to call home going on adventures with the other children and enjoying what youth has to offer.      But when Okina finds a large fortune of gold and treasure in the forest Kaguya s life is completely changed. Believing this to be yet another gift from heaven he takes it upon himself to turn his daughter into a real princess using the wealth he has just obtained relocating the family to a mansion in the capital. As she leaves her friends behind to enter into an unwanted life of royalty Kaguya s origins and purpose slowly come to light.       Written by MAL Rewrite ,Fantasy,Nov 23 2013,1.0,99563,1106,250.0,8.28,cdn.myanimelist.net.images.anime.1935.93606.jpg,myanimelist.net.anime.16664.Kaguya hime no Monogatari
18,Koukaku Kidoutai 2.0,Mamoru Oshii s first Ghost in the Shell cyberspace film will return to five Japanese theaters in an enhanced Ghost in the Shell 2.0 edition on July 12. The new edition will include new computer graphics and digital effects for some scenes and a reunion of most of the cast members for a new 6.1 surround sound recording. Academy Award winning sound mixer.editor Randy Thom  Ghost in the Shell 2 Innocence The Incredibles The Right Stuff  has overseen the new soundtrack with Kenji Kawai s original music and a final mix that has been produced at Thom and Lucas Digital s Skywalker Sound studio in California.      In the new edition the enigmatic Puppet Master character will be played by Yoshiko Sakakibara  Ghost in the Shell 2 Innocence s Harraway Ghost in the Shell Stand Alone Complex s Prime Minister Yoko Kayabuki . Iemasa Kayumi  Giant Robo s Chief Chuujou Shizuo RahXephon s Ernst Von B hbem  played the role in the original edition.      The film will screen in Tokyo Osaka Nagoya Fukuoka and Sapporo. Not coincidentally Oshii s latest film The Sky Crawlers will open one month after Ghost in the Shell 2.0 on August 2.        Source ANN ,Action,Jul 12 2008,1.0,72331,1457,500.0,8.06,cdn.myanimelist.net.images.anime.3.75608.jpg,myanimelist.net.anime.4672.Koukaku Kidoutai 20
19,Nodame Cantabile Finale   Mine to Kiyora no Saikai,Violinist Kiyora Miki meets with Shinichi Chiaki Megumi  Nodame  Noda and their two friends to visit world class conductor Franz von Stresemann upon arriving at his residence in Vienna they discover that the maestro has escaped to Japan. As they make the most of their wasted trip by visiting important landmarks in the historical capital of classical music Kiyora has a confession to make she has not seen her boyfriend Ryuutarou Mine for an entire year and is still busy preparing for an international competition in Paris. Chiaki and Nodame promise to attend the final round but when the two are back in Paris they receive an unexpected guest...       Written by MAL Rewrite    ,Comedy,Apr 7 2010,1.0,33038,2428,750.0,7.88,cdn.myanimelist.net.images.anime.8.19590.jpg,myanimelist.net.anime.8038.Nodame Cantabile  Finale   Mine to Kiyora no Saikai
20,Saraiya Goyou,Masterless samurai Akitsu Masanosuke is a skilled and loyal swordsman but his naïve diffident nature has time and again caused him to be let go by the lords who have employed him. Hungry and desperate he becomes a bodyguard for Yaichi the charismatic leader of a gang called  Five Leaves.  Although disturbed by the gang s sinister activities Masa begins to suspect that Yaichi s motivations are not what they seem. And despite his misgivings the deeper he s drawn into the world of the Five Leaves the more he finds himself fascinated by these devious mysterious outlaws.       Source MU ,Mystery,Apr 16 2010 to Jul 2 2010,12.0,61146,1650,800.0,7.86,cdn.myanimelist.net.images.anime.4.75203.jpg,myanimelist.net.anime.7588.Saraiya Goyou
21,Saint Seiya Meiou Hades Meikai hen,Seiya and the rest of the Bronze and Gold Saints who have survived the Sanctuary battle have entered the world of the Dead. They are fighting to get to Hades and defeat him.        Source ANN ,Action,Dec 17 2005 to Feb 6 2007,12.0,33453,2409,799.0,7.86,cdn.myanimelist.net.images.anime.12.75732.jpg,myanimelist.net.anime.1253.Saint Seiya  Meiou Hades Meikai hen
22,Noragami OVA,Bundled with the limited editions of the 10th and 11th volumes of the manga.      10th volume DVD adapts the 25th chapter of the manga.      11th volume DVD adapts the popular cherry blossom viewing arc.       Source MAL News ,Action,Feb 17 2014 to Jul 17 2014,2.0,200244,539,798.0,7.86,cdn.myanimelist.net.images.anime.7.77177.jpg,myanimelist.net.anime.20767.Noragami OVA
23,Lupin III Part II,Lupin III chronicles the adventures of Arsene Lupin III the world s greatest thief and his partners in crime master marksman Daisuke Jigen beautiful and scheming Fujiko Mine and stoic samurai Goemon Ishikawa XIII. Lupin and his gang travel around the globe in search of the world s greatest treasures and riches and always keeping one step ahead of the tireless Inspector Zenigata who has vowed to bring Lupin to justice.        Source ANN ,Action,Oct 3 1977 to Oct 6 1980,155.0,19405,3237,796.0,7.86,cdn.myanimelist.net.images.anime.7.34035.jpg,myanimelist.net.anime.1425.Lupin III  Part II
24,Kobayashi san Chi no Maid Dragon Valentine Soshite Onsen   Amari Kitai Shinaide Kudasai,Unaired episode included with the 7th volume of the BD.DVD release of  Kobayashi san Chi no Maid Dragon .,Slice of Life,Sep 20 2017,1.0,87716,1238,794.0,7.86,cdn.myanimelist.net.images.anime.5.88486.jpg,myanimelist.net.anime.35363.Kobayashi san Chi no Maid Dragon  Valentine Soshite Onsen   Amari Kitai Shinaide Kudasai
25,Kuroko no Basket 2nd Season NG shuu,Animated bloopers based on the extra section of the original manga series included with the BD.DVD series for Kuroko no Basket Second Season  both limited and normal editions .,Comedy,Jan 29 2014 to Sep 24 2014,9.0,38046,2263,795.0,7.86,cdn.myanimelist.net.images.anime.13.59027.jpg,myanimelist.net.anime.22673.Kuroko no Basket 2nd Season NG shuu
26,K On Live House,It is almost the end of the year and Houkago Tea Time has been invited to participate in a live house on New Year s Eve The iconic band members are Yui Hirasawa the carefree guitarist who is enthusiastic to play music Mio Akiyama the shy bassist who gets embarrassed easily Tsumugi Kotobuki the gentle and sweet keyboardist who finds joy in normal activities Ritsu Tainaka the extroverted drummer who likes to tease Mio and Azusa Nakano the rhythm guitarist who is one year younger than the rest but slightly more mature.      Performing in the set gives the girls the rare opportunity to meet various people from different bands including the one that invited them Love Crysis. Will Houkago Tea Time be able to delight their audiences successfully       Written by MAL Rewrite ,Comedy,Jan 19 2010,1.0,102122,1082,793.0,7.86,cdn.myanimelist.net.images.anime.9.15892.jpg,myanimelist.net.anime.6862.K On  Live House
27,K On,Hirasawa Yui a young carefree girl entering high school has her imagination instantly captured when she sees a poster advertising the  Light Music Club.  Being the carefree girl that she is she quickly signs up however Yui has a problem she is unable to play an instrument.      When Yui goes to the clubroom to explain she s greeted by the other members Ritsu Mio and Tsumugi. Although disheartened at Yui s lack of musical know how they still try to convince her to stay to prevent the club s disbandment. After playing Yui a short piece which re ignites her imagination they succeed in keeping their new member and guitarist.      Along with the tasks of school and homework Yui begins to learn the guitar with the help of the other band members experiencing many mishaps along the way. However with the school festival drawing near and Yui getting stuck with her practice will the Light Music Club be ready in time for their debut       Written by MAL Rewrite ,Slice of Life,Apr 3 2009 to Jun 26 2009,13.0,610222,90,792.0,7.86,cdn.myanimelist.net.images.anime.10.76120.jpg,myanimelist.net.anime.5680.K On
28,InuYasha Movie 3 Tenka Hadou no Ken,Izayoi and Inu no Taishou Inuyasha s parents are having problems with a human named Setsuna no Takemaru. Sou unga a magical sword that has been sealed away for 700 years is found. Now everyone is after the sword and its powers but it seems the sword has something else in mind.       Source ANN    ,Action,Dec 20 2003,1.0,68407,1527,791.0,7.86,cdn.myanimelist.net.images.anime.1658.95332.jpg,myanimelist.net.anime.451.InuYasha Movie 3  Tenka Hadou no Ken
30,Haikyuu Movie 2 Shousha to Haisha,Second  Haikyuu  recap movie.,Comedy,Sep 18 2015,1.0,27734,2698,789.0,7.86,cdn.myanimelist.net.images.anime.2.74813.jpg,myanimelist.net.anime.30364.Haikyuu Movie 2  Shousha to Haisha
32,Ginga Eiyuu Densetsu Die Neue These   Seiran 1,The Free Planets Alliance s invasion of the Galactic Empire has failed after supply mismanagement led to heavy losses. Unwilling to abort the expedition despite being greatly outnumbered Fleet Admiral Lazar Lobos orders the remaining Alliance fleets to gather in the Amritsar Starzone for a final stand against the incoming counterattack.      Strategic genius Fleet Admiral Reinhard von Lohengramm leads the Imperial forces into this decisive battle with an overwhelming advantage. However his rival tactical magician Vice Admiral Yang Wen li of the Alliance once again makes up for the incompetence of his superiors and stages a narrow escape for himself and his fellow soldiers. Though both Reinhard and Yang are displeased with the outcome the former for his imperfect victory and the latter for the tremendous casualties their attention must turn to the bubbling political unrest on both sides of the galaxy.       Written by MAL Rewrite ,Action,Sep 27 2019,4.0,11817,4041,787.0,7.86,cdn.myanimelist.net.images.anime.1772.102667.jpg,myanimelist.net.anime.36369.Ginga Eiyuu Densetsu  Die Neue These   Seiran 1
33,Gekkan Shoujo Nozaki kun Specials,Specials bundled with the Blu ray.DVDs.,Comedy,Sep 24 2014 to Feb 25 2015,6.0,87789,1233,786.0,7.86,cdn.myanimelist.net.images.anime.9.66871.jpg,myanimelist.net.anime.27633.Gekkan Shoujo Nozaki kun Specials
34,Gate Jieitai Kanochi nite Kaku Tatakaeri 2nd Season,Several months have passed since the infamous Ginza Incident with tensions between the Empire and JSDF escalating in the vast and mysterious  Special Region  over peace negotiations. The greed and curiosity of the global powers have also begun to grow as reports about the technological limitations of the magical realm s archaic civilizations come to light.       Meanwhile Lieutenant Youji Itami and his merry band of female admirers struggle to navigate the complex political intrigue that plagues the Empire s court. Despite her best efforts Princess Piña Co Lada faces difficulties attempting to convince her father that the JSDF has no intention of conquering their kingdom. Pressured from both sides of the Gate Itami must consider even more drastic measures to fulfill his mission.       Written by MAL Rewrite  ,Action,Jan 9 2016 to Mar 26 2016,12.0,328860,297,785.0,7.86,cdn.myanimelist.net.images.anime.8.77382.jpg,myanimelist.net.anime.31637.Gate  Jieitai Kanochi nite Kaku Tatakaeri 2nd Season
35,Doukyonin wa Hiza Tokidoki Atama no Ue.,Subaru Mikazuki is a 23 year old mystery novel author major introvert and an awkwardly shy person. He would much rather stay home to read a book than go outside and interact with others. Further exacerbating this life of solitude his parents tragically died in an accident many years ago leaving him alone in the world.       One day while giving offerings at his parents  grave Subaru runs into a small grey and white cat named Haru which he ends up taking home with him. Subaru however has never taken care of anyone else in his life can he even take care of a cat Haru is grateful toward Subaru as he gives her all the food she wants a luxury for a cat who is used to a rough life on the streets. But she notices that Subaru can t even seem to take care of himself Will she be okay with this dunce        Doukyonin wa Hiza Tokidoki Atama no Ue.  tells the story of an unlikely friendship between a human and a cat who try to foster an understanding with each other.       Written by MAL Rewrite ,Slice of Life,Jan 9 2019 to Mar 27 2019,12.0,89612,1216,784.0,7.86,cdn.myanimelist.net.images.anime.1251.99191.jpg,myanimelist.net.anime.38145.Doukyonin wa Hiza Tokidoki Atama no Ue
36,Digimon Adventure,When a group of kids head out for summer camp they don t expect it to snow in the middle of July. Out of nowhere the kids receive strange devices which transport them to a very different world to begin their  Digimon Adventure  Led by the plucky Taichi Yagami the seven children must now survive in a realm far from home filled with monsters and devoid of other humans.      Luckily they re not alone each child is paired off with a companion digital monster called a Digimon. Together the children and their new friends must overcome their insecurities discover their inner strengths and evolve into stronger fighters   literally.      A force of evil is spreading through the Digital World corrupting all the Digimon. The DigiDestined have arrived and it s up to them to save the Digital World if they ever want to see their home world again.,Action,Mar 7 1999 to Mar 26 2000,54.0,274830,356,783.0,7.86,cdn.myanimelist.net.images.anime.10.11070.jpg,myanimelist.net.anime.552.Digimon Adventure
37,Byousoku 5 Centimeter,Takaki Toono and Akari Shinohara two very close friends and classmates are torn apart when Akari s family is transferred to another region of Japan due to her family s job. Despite separation they continue to keep in touch through mail. When Takaki finds out that his family is also moving he decides to meet with Akari one last time.      As years pass by they continue down their own paths their distance slowly growing wider and their contact with one another fades. Yet they keep remembering one another and the times they have shared together wondering if they will have the chance to meet once again.       Written by MAL Rewrite ,Slice of Life,Mar 3 2007,3.0,554071,108,781.0,7.86,cdn.myanimelist.net.images.anime.10.79674.jpg,myanimelist.net.anime.1689.Byousoku 5 Centimeter
38,Detective Conan OVA 10 Kid in Trap Island,In this entirely new story produced specifically for the DVD Conan leads a group of young detectives against the phantom thief Kaitou Kid who has his eyes set on a jewel at a hotel on an isolated island.       Source ANN ,Adventure,Apr 14 2010,1.0,12337,3969,782.0,7.86,cdn.myanimelist.net.images.anime.7.23698.jpg,myanimelist.net.anime.8609.Detective Conan OVA 10  Kid in Trap Island
39,Bungou Stray Dogs Dead Apple,A large scale catastrophe is occurring across the planet. Ability users are discovered after the appearance of a mysterious fog apparently having committed suicide so the Armed Detective Agency sets out to investigate these mysterious deaths. The case seems to involve an unknown ability user referred to as  Collector  a man who could be the mastermind behind the incident.      Trust and courage are put to the test in order to save the city of Yokohama and ability users across the world from the grip of Collector where the Armed Detective Agency forms an unlikely partnership with the dangerous Port Mafia.        Written by MAL Rewrite ,Action,Mar 3 2018,1.0,73839,1448,780.0,7.86,cdn.myanimelist.net.images.anime.1127.93981.jpg,myanimelist.net.anime.34944.Bungou Stray Dogs  Dead Apple
